,y,y,y,y
,count,mean,min,max
y_hat_bin,,,,
1,11651,0.308986353102738,0,1
2,11650,0.07974248927038627,0,1
3,11650,0.040257510729613734,0,1
4,11651,0.025491374130975884,0,1
5,11650,0.011931330472103005,0,1
6,11650,0.0019742489270386265,0,1
7,11651,0.00051497725517123,0,1
8,11650,0.0,0,0
9,11650,0.0,0,0
10,11651,0.0,0,0
