,y,y,y,y
,count,mean,min,max
y_hat_bin,,,,
1,4697,0.011496700021290185,0,1
2,4697,0.09601873536299765,0,1
3,4696,0.13309199318568996,0,1
4,4697,0.05876091121992762,0,1
5,4697,0.03789652969980839,0,1
6,4696,0.03896933560477002,0,1
7,4697,0.04343197785820737,0,1
8,4696,0.02619250425894378,0,1
9,4697,0.020438577815626996,0,1
10,4697,0.00936768149882904,0,1
